               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,            0.036709,             0.01154,           0.0051704,             0.79361,             0.76063,             0.74804,             0.60934,              0.0373,            0.011404,            0.013263,              0.0091,              0.0091,              0.0091
                 102,            0.036779,            0.011583,           0.0051122,             0.79282,             0.76074,             0.74784,             0.60941,            0.037284,            0.011399,            0.013281,            0.009091,            0.009091,            0.009091
                 103,            0.036555,            0.011441,           0.0050788,             0.79164,             0.76122,             0.74788,              0.6096,            0.037264,            0.011391,            0.013292,            0.009082,            0.009082,            0.009082
                 104,            0.036573,             0.01147,           0.0050673,             0.79068,             0.76139,             0.74767,             0.60939,            0.037252,            0.011384,             0.01331,            0.009073,            0.009073,            0.009073
                 105,            0.036592,            0.011489,           0.0052087,             0.79023,             0.76136,             0.74726,             0.60917,            0.037241,            0.011377,            0.013329,            0.009064,            0.009064,            0.009064
                 106,            0.036498,             0.01143,            0.005006,             0.79082,             0.76226,             0.74764,             0.60973,            0.037229,            0.011375,            0.013279,            0.009055,            0.009055,            0.009055
                 107,            0.036405,            0.011357,           0.0049696,             0.78998,             0.76235,             0.74723,             0.60978,            0.037222,            0.011373,            0.013281,            0.009046,            0.009046,            0.009046
                 108,            0.036463,            0.011395,           0.0050939,             0.79043,              0.7621,             0.74665,             0.60946,            0.037207,            0.011374,            0.013315,            0.009037,            0.009037,            0.009037
                 109,            0.036658,            0.011544,           0.0052477,             0.78947,             0.76119,              0.7458,             0.60875,            0.037197,            0.011368,            0.013375,            0.009028,            0.009028,            0.009028
                 110,            0.036527,            0.011461,             0.00506,             0.78749,             0.76054,             0.74439,             0.60764,            0.037188,            0.011367,            0.013448,            0.009019,            0.009019,            0.009019
                 111,            0.036377,            0.011332,           0.0049215,             0.78794,             0.75959,             0.74359,             0.60719,            0.037179,            0.011367,            0.013496,             0.00901,             0.00901,             0.00901
                 112,            0.036476,            0.011415,           0.0051899,             0.78812,             0.76022,              0.7434,             0.60713,            0.037165,            0.011362,            0.013501,            0.009001,            0.009001,            0.009001
                 113,            0.036459,            0.011408,           0.0050046,             0.78805,             0.76001,             0.74369,             0.60732,            0.037154,            0.011358,            0.013492,            0.008992,            0.008992,            0.008992
                 114,            0.036406,            0.011379,           0.0050461,             0.78762,             0.76127,              0.7444,             0.60792,            0.037146,            0.011358,            0.013436,            0.008983,            0.008983,            0.008983
                 115,            0.036426,            0.011395,           0.0050358,             0.78781,             0.76016,             0.74351,             0.60754,            0.037132,            0.011354,            0.013467,            0.008974,            0.008974,            0.008974
                 116,            0.036362,             0.01135,           0.0049733,             0.78781,             0.76011,             0.74335,             0.60721,            0.037124,             0.01135,            0.013495,            0.008965,            0.008965,            0.008965
                 117,            0.036402,            0.011368,           0.0051192,             0.78694,              0.7601,             0.74305,             0.60708,            0.037116,            0.011346,             0.01352,            0.008956,            0.008956,            0.008956
                 118,             0.03638,            0.011364,           0.0050264,             0.78738,             0.76068,             0.74379,             0.60781,            0.037107,            0.011343,            0.013497,            0.008947,            0.008947,            0.008947
                 119,            0.036326,            0.011321,           0.0050464,             0.78857,             0.76079,             0.74433,             0.60827,            0.037102,            0.011338,            0.013486,            0.008938,            0.008938,            0.008938
                 120,            0.036364,            0.011362,            0.005043,             0.78904,             0.76137,               0.745,             0.60909,            0.037098,            0.011335,            0.013477,            0.008929,            0.008929,            0.008929
                 121,            0.036248,            0.011281,           0.0050137,             0.79014,             0.76118,             0.74517,             0.60934,            0.037086,            0.011331,            0.013476,             0.00892,             0.00892,             0.00892
